IS_top_5_league,Based_rich_nation,Is_top_ranked_nation,EU_National,Caps,Apps,Age,Reputation,Is_top_prev_club,Last_Transfer_Fee,Salary
1,1,2,1,0.45,0.607008760951189,0.5357142857142857,0.6984924623115578,0,0,10948000.0
1,1,2,1,0.635,0.5794743429286608,0.6071428571428571,0.7276381909547739,0,0,10916000.0
1,1,2,0,0.065,0.11514392991239049,0.1785714285714286,0.7937688442211055,1,0,10916000.0
1,1,1,1,0.245,0.25782227784730916,0.2857142857142857,0.8522613065326633,0,0,10909000.0
1,1,2,0,0.38,0.5281602002503129,0.5714285714285715,0.8269346733668341,1,0,10613000.0
1,1,2,0,0.22,0.33667083854818525,0.3214285714285714,0.7224120603015075,0,0,10613000.0
1,1,2,1,0.24,0.2978723404255319,0.3214285714285714,0.8752763819095477,1,0,10613000.0
1,1,2,0,0.11,0.1964956195244055,0.2857142857142857,0.8030150753768844,0,0,10613000.0
1,1,2,1,0.155,0.24155193992490614,0.2857142857142857,0.7763819095477387,0,0,10471000.0
1,1,2,1,0.045,0.16020025031289112,0.25,0.7753768844221105,0,0,10471000.0
1,1,0,1,0.39,0.4568210262828536,0.4285714285714285,0.8015075376884422,0,0,10400000.0
1,1,2,1,0.055,0.28660826032540676,0.3571428571428571,0.7487437185929648,0,0,10372000.0
1,1,2,1,0.18,0.43178973717146435,0.4999999999999999,0.7738693467336684,0,0,10372000.0
1,1,2,1,0.045,0.246558197747184,0.3928571428571429,0.7773869346733668,0,0,10372000.0
1,1,2,1,0.065,0.3779724655819775,0.3928571428571429,0.7045226130653266,0,0,10309000.0
1,1,2,1,0.015,0.32665832290362956,0.3214285714285714,0.7953768844221105,0,0,10309000.0
1,1,1,1,0.61,0.5281602002503129,0.4999999999999999,0.7286432160804021,0,0,10309000.0
1,1,1,1,0.295,0.44180225281602004,0.4285714285714285,0.7085427135678392,1,0,10309000.0
1,1,2,1,0.455,0.3591989987484355,0.4642857142857143,0.7386934673366834,1,0,10260000.0
1,1,2,1,0.085,0.18898623279098875,0.25,0.7760804020100502,0,0,10190000.0
1,1,2,1,0.19,0.25782227784730916,0.3928571428571429,0.7879396984924623,0,0,10006000.0
1,1,2,1,0.135,0.2878598247809762,0.3571428571428571,0.7444221105527639,0,0,10006000.0
1,1,2,1,0.215,0.3479349186483104,0.3571428571428571,0.9148743718592964,1,0,10006000.0
1,1,2,1,0.47500000000000003,0.42928660826032544,0.4285714285714285,0.7836180904522613,1,0,10006000.0
0,1,2,1,0.325,0.5832290362953693,0.6428571428571429,0.6969849246231156,1,0,10000000.0
1,1,2,1,0.14,0.20400500625782228,0.3928571428571429,0.7487437185929648,0,0,9973000.0
0,1,2,0,0.0,0.30663329161451813,0.4285714285714285,0.7487437185929648,0,0,9973000.0
1,1,1,1,0.28500000000000003,0.39173967459324155,0.3571428571428571,0.7115577889447237,1,0,9973000.0
0,1,2,1,0.01,0.15519399249061328,0.25,0.7274371859296482,1,0,9973000.0
0,1,1,0,0.27,0.3404255319148936,0.5357142857142857,0.751859296482412,1,0,9973000.0
1,1,0,0,0.32,0.45556946182728414,0.4285714285714285,0.8040201005025126,0,0,9703000.0
1,1,2,1,0.055,0.17647058823529413,0.1428571428571429,0.700502512562814,1,0,9703000.0
1,1,2,1,0.04,0.2127659574468085,0.2857142857142857,0.8279396984924623,0,0,9703000.0
1,1,0,0,0.215,0.3967459324155194,0.4642857142857143,0.7771859296482412,1,0,9703000.0
1,1,2,1,0.44,0.3742177722152691,0.4285714285714285,0.7487437185929648,1,0,9615000.0
1,1,2,1,0.105,0.22528160200250313,0.25,0.7932663316582914,1,0,9500000.0
0,1,1,0,0.37,0.4330413016270338,0.5357142857142857,0.6733668341708543,0,0,9478000.0
0,1,1,1,0.09,0.3216520650813517,0.3928571428571429,0.6783919597989949,0,0,9478000.0
1,1,2,1,0.32,0.5294117647058824,0.4642857142857143,0.7722613065326633,1,0,9455000.0
1,1,2,1,0.185,0.23404255319148937,0.3214285714285714,0.849748743718593,1,0,9387000.0
1,1,2,1,0.045,0.4530663329161452,0.5357142857142857,0.7286432160804021,0,0,9274000.0
1,1,2,1,0.15,0.2002503128911139,0.2857142857142857,0.8291457286432161,1,0,9260000.0
1,1,2,0,0.015,0.19148936170212766,0.3214285714285714,0.7746733668341709,0,0,9260000.0
1,1,2,1,0.21,0.2503128911138924,0.2857142857142857,0.777788944723618,0,0,9260000.0
1,1,2,1,0.225,0.3216520650813517,0.3214285714285714,0.8139698492462312,0,0,9260000.0
1,1,1,1,0.33,0.43429286608260326,0.5357142857142857,0.8368844221105528,0,0,9100000.0
1,1,0,1,0.34500000000000003,0.5819774718397998,0.6071428571428571,0.7535678391959799,1,0,9100000.0
1,1,1,0,0.055,0.0851063829787234,0.1785714285714286,0.7294472361809046,1,0,9097000.0
1,1,2,0,0.08,0.1451814768460576,0.2142857142857143,0.7068341708542714,1,0,9097000.0
1,1,2,0,0.085,0.22403003754693368,0.25,0.8012060301507538,0,0,9097000.0
1,1,2,1,0.3,0.42428035043804757,0.3214285714285714,0.7336683417085427,0,0,9097000.0
